athlete,age,country,year,closing_ceremony_date,sport,gold,silver,bronze,total
Marissa Carpadios,26,Australia,2004,8/29/04,Softball,0,1,0,1
Amanda Doman,26,Australia,2004,8/29/04,Softball,0,1,0,1
Peta Edebone,35,Australia,2004,8/29/04,Softball,0,1,0,1
Lisa Fernandez,33,United States,2004,8/29/04,Softball,1,0,0,1
Jennie Finch,23,United States,2004,8/29/04,Softball,1,0,0,1
Tairia Flowers,23,United States,2004,8/29/04,Softball,1,0,0,1
Amanda Freed,24,United States,2004,8/29/04,Softball,1,0,0,1
Fiona Hanes-Crawford,27,Australia,2004,8/29/04,Softball,0,1,0,1
Tanya Harding,32,Australia,2004,8/29/04,Softball,0,1,0,1
Lori Harrigan,33,United States,2004,8/29/04,Softball,1,0,0,1
Natalie Hodgskin,28,Australia,2004,8/29/04,Softball,0,1,0,1
Kazue Ito,26,Japan,2004,8/29/04,Softball,0,0,1,1
Yumi Iwabuchi,24,Japan,2004,8/29/04,Softball,0,0,1,1
Lovie Jung,24,United States,2004,8/29/04,Softball,1,0,0,1
Kelly Kretschman,24,United States,2004,8/29/04,Softball,1,0,0,1
Jessica Mendoza,23,United States,2004,8/29/04,Softball,1,0,0,1
Masumi Mishina,22,Japan,2004,8/29/04,Softball,0,0,1,1
Simmone Morrow,27,Australia,2004,8/29/04,Softball,0,1,0,1
Tracey Mosley,30,Australia,2004,8/29/04,Softball,0,1,0,1
Emi Naito,24,Japan,2004,8/29/04,Softball,0,0,1,1
Stacey Nuveman,26,United States,2004,8/29/04,Softball,1,0,0,1
Leah O'Brien-Amico,29,United States,2004,8/29/04,Softball,1,0,0,1
Cat Osterman,21,United States,2004,8/29/04,Softball,1,0,0,1
Stacey Porter,22,Australia,2004,8/29/04,Softball,0,1,0,1
Melanie Roche,33,Australia,2004,8/29/04,Softball,0,1,0,1
Haruka Saito,34,Japan,2004,8/29/04,Softball,0,0,1,1
Hiroko Sakai,25,Japan,2004,8/29/04,Softball,0,0,1,1
Naoko Sakamoto,19,Japan,2004,8/29/04,Softball,0,0,1,1
Rie Sato,24,Japan,2004,8/29/04,Softball,0,0,1,1
Yuki Sato,23,Japan,2004,8/29/04,Softball,0,0,1,1
Juri Takayama,27,Japan,2004,8/29/04,Softball,0,0,1,1
Natalie Titcume,28,Australia,2004,8/29/04,Softball,0,1,0,1
Jenny Topping,24,United States,2004,8/29/04,Softball,1,0,0,1
Yukiko Ueno,22,Japan,2004,8/29/04,Softball,0,0,1,1
Reika Utsugi,41,Japan,2004,8/29/04,Softball,0,0,1,1
Natalie Ward,28,Australia,2004,8/29/04,Softball,0,1,0,1
Natasha Watley,22,United States,2004,8/29/04,Softball,1,0,0,1
Brooke Wilkins,30,Australia,2004,8/29/04,Softball,0,1,0,1
Kerry Wyborn,26,Australia,2004,8/29/04,Softball,0,1,0,1
Eri Yamada,20,Japan,2004,8/29/04,Softball,0,0,1,1
Noriko Yamaji,33,Japan,2004,8/29/04,Softball,0,0,1,1
Sandy Allen-Lewis,21,Australia,2000,10/1/00,Softball,0,0,1,1
Christie Ambrosi,23,United States,2000,10/1/00,Softball,1,0,0,1
Misako Ando,29,Japan,2000,10/1/00,Softball,0,1,0,1
Laura Berg,25,United States,2000,10/1/00,Softball,1,0,0,1
Jo Brown,28,Australia,2000,10/1/00,Softball,0,0,1,1
Jennifer Brundage,27,United States,2000,10/1/00,Softball,1,0,0,1
Crystl Bustos,23,United States,2000,10/1/00,Softball,1,0,0,1
Sheila Cornell-Douty,38,United States,2000,10/1/00,Softball,1,0,0,1
Kerry Dienelt,31,Australia,2000,10/1/00,Softball,0,0,1,1
Peta Edebone,31,Australia,2000,10/1/00,Softball,0,0,1,1
Sue Fairhurst,26,Australia,2000,10/1/00,Softball,0,0,1,1
Lisa Fernandez,29,United States,2000,10/1/00,Softball,1,0,0,1
Selina Follas,24,Australia,2000,10/1/00,Softball,0,0,1,1
Yumiko Fujii,28,Japan,2000,10/1/00,Softball,0,1,0,1
Fiona Hanes-Crawford,23,Australia,2000,10/1/00,Softball,0,0,1,1
Kelly Hardie,30,Australia,2000,10/1/00,Softball,0,0,1,1
Tanya Harding,28,Australia,2000,10/1/00,Softball,0,0,1,1
Lori Harrigan,30,United States,2000,10/1/00,Softball,1,0,0,1
Danielle Henderson,23,United States,2000,10/1/00,Softball,1,0,0,1
Taeko Ishikawa,24,Japan,2000,10/1/00,Softball,0,1,0,1
Kazue Ito,22,Japan,2000,10/1/00,Softball,0,1,0,1
Yoshimi Kobayashi,32,Japan,2000,10/1/00,Softball,0,1,0,1
Shiori Koseki,28,Japan,2000,10/1/00,Softball,0,1,0,1
Mariko Masubuchi,20,Japan,2000,10/1/00,Softball,0,1,0,1
Naomi Matsumoto,32,Japan,2000,10/1/00,Softball,0,1,0,1
Sally McDermid-McCreedy,35,Australia,2000,10/1/00,Softball,0,0,1,1
Jennifer McFalls,28,United States,2000,10/1/00,Softball,1,0,0,1
Simmone Morrow,23,Australia,2000,10/1/00,Softball,0,0,1,1
Emi Naito,20,Japan,2000,10/1/00,Softball,0,1,0,1
Stacey Nuveman,22,United States,2000,10/1/00,Softball,1,0,0,1
Leah O'Brien-Amico,26,United States,2000,10/1/00,Softball,1,0,0,1
Dot Richardson,38,United States,2000,10/1/00,Softball,1,0,0,1
Melanie Roche,29,Australia,2000,10/1/00,Softball,0,0,1,1
Haruka Saito,30,Japan,2000,10/1/00,Softball,0,1,0,1
Michele Smith,33,United States,2000,10/1/00,Softball,1,0,0,1
Juri Takayama,23,Japan,2000,10/1/00,Softball,0,1,0,1
Hiroko Tamoto,26,Japan,2000,10/1/00,Softball,0,1,0,1
Natalie Titcume,24,Australia,2000,10/1/00,Softball,0,0,1,1
Reika Utsugi,37,Japan,2000,10/1/00,Softball,0,1,0,1
Michelle Venturella,27,United States,2000,10/1/00,Softball,1,0,0,1
Natalie Ward,24,Australia,2000,10/1/00,Softball,0,0,1,1
Brooke Wilkins,26,Australia,2000,10/1/00,Softball,0,0,1,1
Christa Williams,22,United States,2000,10/1/00,Softball,1,0,0,1
Miyo Yamada,24,Japan,2000,10/1/00,Softball,0,1,0,1
Noriko Yamaji,30,Japan,2000,10/1/00,Softball,0,1,0,1
Jasey-Jay Anderson,34,Canada,2010,2/28/10,Snowboarding,1,0,0,1
D_borah Anthonioz,31,France,2010,2/28/10,Snowboarding,0,1,0,1
Mathieu Bozzetto,36,France,2010,2/28/10,Snowboarding,0,0,1,1
Torah Bright,23,Australia,2010,2/28/10,Snowboarding,1,0,0,1
Kelly Clark,26,United States,2010,2/28/10,Snowboarding,0,0,1,1
Yekaterina Ilyukhina,22,Russia,2010,2/28/10,Snowboarding,0,1,0,1
Benjamin Karl,24,Austria,2010,2/28/10,Snowboarding,0,1,0,1
Marion Kreiner,28,Austria,2010,2/28/10,Snowboarding,0,0,1,1
Scotty Lago,22,United States,2010,2/28/10,Snowboarding,0,0,1,1
Olivia Nobs,27,Switzerland,2010,2/28/10,Snowboarding,0,0,1,1
Peetu Piiroinen,22,Finland,2010,2/28/10,Snowboarding,0,1,0,1
Tony Ramoin,21,France,2010,2/28/10,Snowboarding,0,0,1,1
Ma_lle Ricker,31,Canada,2010,2/28/10,Snowboarding,1,0,0,1
Mike Robertson,24,Canada,2010,2/28/10,Snowboarding,0,1,0,1
Nicolien Sauerbreij,30,Netherlands,2010,2/28/10,Snowboarding,1,0,0,1
Hannah Teter,23,United States,2010,2/28/10,Snowboarding,0,1,0,1
Seth Wescott,33,United States,2010,2/28/10,Snowboarding,1,0,0,1
Shaun White,23,United States,2010,2/28/10,Snowboarding,1,0,0,1
Gretchen Bleiler,24,United States,2006,2/26/06,Snowboarding,0,1,0,1
Kjersti Buaas,24,Norway,2006,2/26/06,Snowboarding,0,0,1,1
Paul-Henri De Le Rue,21,France,2006,2/26/06,Snowboarding,0,0,1,1
Rosey Fletcher,30,United States,2006,2/26/06,Snowboarding,0,0,1,1
Tanja Frieden,30,Switzerland,2006,2/26/06,Snowboarding,1,0,0,1
Sigi Grabner,31,Austria,2006,2/26/06,Snowboarding,0,0,1,1
Lindsey Jacobellis,20,United States,2006,2/26/06,Snowboarding,0,1,0,1
Danny Kass,23,United States,2006,2/26/06,Snowboarding,0,1,0,1
Amelie Kober,18,Germany,2006,2/26/06,Snowboarding,0,1,0,1
Markku Koski,24,Finland,2006,2/26/06,Snowboarding,0,0,1,1
Dominique Maltais,25,Canada,2006,2/26/06,Snowboarding,0,0,1,1
Daniela Meuli,24,Switzerland,2006,2/26/06,Snowboarding,1,0,0,1
Philipp Schoch,26,Switzerland,2006,2/26/06,Snowboarding,1,0,0,1
Simon Schoch,27,Switzerland,2006,2/26/06,Snowboarding,0,1,0,1
Hannah Teter,19,United States,2006,2/26/06,Snowboarding,1,0,0,1
Seth Wescott,29,United States,2006,2/26/06,Snowboarding,1,0,0,1
Shaun White,19,United States,2006,2/26/06,Snowboarding,1,0,0,1
Radoslav _idek,24,Slovakia,2006,2/26/06,Snowboarding,0,1,0,1
Isabelle Blanc,26,France,2002,2/24/02,Snowboarding,1,0,0,1
Kelly Clark,18,United States,2002,2/24/02,Snowboarding,1,0,0,1
Danny Kass,19,United States,2002,2/24/02,Snowboarding,0,1,0,1
Chris Klug,29,United States,2002,2/24/02,Snowboarding,0,0,1,1
Ross Powers,23,United States,2002,2/24/02,Snowboarding,1,0,0,1
Fabienne Reuteler,22,Switzerland,2002,2/24/02,Snowboarding,0,0,1,1
Richard Richardsson,28,Sweden,2002,2/24/02,Snowboarding,0,1,0,1
Karine Ruby,24,France,2002,2/24/02,Snowboarding,0,1,0,1
Philipp Schoch,22,Switzerland,2002,2/24/02,Snowboarding,1,0,0,1
JJ Thomas,20,United States,2002,2/24/02,Snowboarding,0,0,1,1
Lidia Trettel,28,Italy,2002,2/24/02,Snowboarding,0,0,1,1
Doriane Vidal,25,France,2002,2/24/02,Snowboarding,0,1,0,1
Anders Bardal,27,Norway,2010,2/28/10,Ski Jumping,0,0,1,1
Johan Remen Evensen,24,Norway,2010,2/28/10,Ski Jumping,0,0,1,1
Tom Hilde,22,Norway,2010,2/28/10,Ski Jumping,0,0,1,1
Anders Jacobsen,25,Norway,2010,2/28/10,Ski Jumping,0,0,1,1
Andreas Kofler,25,Austria,2010,2/28/10,Ski Jumping,1,0,0,1
Wolfgang Loitzl,30,Austria,2010,2/28/10,Ski Jumping,1,0,0,1
Thomas Morgenstern,23,Austria,2010,2/28/10,Ski Jumping,1,0,0,1
Michael Neumayer,31,Germany,2010,2/28/10,Ski Jumping,0,1,0,1
Martin Schmitt,32,Germany,2010,2/28/10,Ski Jumping,0,1,0,1
Michael Uhrmann,31,Germany,2010,2/28/10,Ski Jumping,0,1,0,1
Andreas Wank,22,Germany,2010,2/28/10,Ski Jumping,0,1,0,1
Janne Ahonen,28,Finland,2006,2/26/06,Ski Jumping,0,1,0,1
Janne Happonen,21,Finland,2006,2/26/06,Ski Jumping,0,1,0,1
Tommy Ingebrigtsen,28,Norway,2006,2/26/06,Ski Jumping,0,0,1,1
Tami Kiuru,29,Finland,2006,2/26/06,Ski Jumping,0,1,0,1
Martin Koch,24,Austria,2006,2/26/06,Ski Jumping,1,0,0,1
Bj_rn Einar Rom_ren,24,Norway,2006,2/26/06,Ski Jumping,0,0,1,1
Andreas Widh_lzl,29,Austria,2006,2/26/06,Ski Jumping,1,0,0,1
Janne Ahonen,24,Finland,2002,2/24/02,Ski Jumping,0,1,0,1
Damjan Fras,28,Slovenia,2002,2/24/02,Ski Jumping,0,0,1,1
Stephan Hocke,18,Germany,2002,2/24/02,Ski Jumping,1,0,0,1
Risto Jussilainen,26,Finland,2002,2/24/02,Ski Jumping,0,1,0,1
Robert Kranjec,20,Slovenia,2002,2/24/02,Ski Jumping,0,0,1,1
Veli-Matti Lindstr_m,18,Finland,2002,2/24/02,Ski Jumping,0,1,0,1
Primo_ Peterka,22,Slovenia,2002,2/24/02,Ski Jumping,0,0,1,1
Martin Schmitt,24,Germany,2002,2/24/02,Ski Jumping,1,0,0,1
Michael Uhrmann,23,Germany,2002,2/24/02,Ski Jumping,1,0,0,1
Peter _onta,23,Slovenia,2002,2/24/02,Ski Jumping,0,0,1,1
Martins Dukurs,25,Latvia,2010,2/28/10,Skeleton,0,1,0,1
Anja Huber,26,Germany,2010,2/28/10,Skeleton,0,0,1,1
Jon Montgomery,30,Canada,2010,2/28/10,Skeleton,1,0,0,1
Kerstin Szymkowiak,32,Germany,2010,2/28/10,Skeleton,0,1,0,1
Aleksandr Tretyakov,24,Russia,2010,2/28/10,Skeleton,0,0,1,1
Amy Williams,27,Great Britain,2010,2/28/10,Skeleton,1,0,0,1
Duff Gibson,39,Canada,2006,2/26/06,Skeleton,1,0,0,1
Mellisa Hollingsworth-Richards,25,Canada,2006,2/26/06,Skeleton,0,0,1,1
Jeff Pain,35,Canada,2006,2/26/06,Skeleton,0,1,0,1
Maya Pedersen,33,Switzerland,2006,2/26/06,Skeleton,1,0,0,1
Shelley Rudman,24,Great Britain,2006,2/26/06,Skeleton,0,1,0,1
Gregor St_hli,37,Switzerland,2006,2/26/06,Skeleton,0,0,1,1
Alex Coomber,28,Great Britain,2002,2/24/02,Skeleton,0,0,1,1
Tristan Gale,21,United States,2002,2/24/02,Skeleton,1,0,0,1
Lea Ann Parsley,33,United States,2002,2/24/02,Skeleton,0,1,0,1
Martin Rettl,28,Austria,2002,2/24/02,Skeleton,0,1,0,1
Jim Shea Jr.,33,United States,2002,2/24/02,Skeleton,1,0,0,1
Gregor St_hli,33,Switzerland,2002,2/24/02,Skeleton,0,0,1,1
Nasser Al-Attiya,41,Qatar,2012,8/12/12,Shooting,0,0,1,1
Fehaid Al-Deehani,45,Kuwait,2012,8/12/12,Shooting,0,0,1,1
Danka Bartekov_,27,Slovakia,2012,8/12/12,Shooting,0,0,1,1
Jamie Beyerle-Gray,28,United States,2012,8/12/12,Shooting,1,0,0,1
Sylwia Bogacka,30,Poland,2012,8/12/12,Shooting,0,1,0,1
Giovanni Cernogoraz,29,Croatia,2012,8/12/12,Shooting,1,0,0,1
Chen Ying,34,China,2012,8/12/12,Shooting,0,1,0,1
Choi Yeong-Rae,30,South Korea,2012,8/12/12,Shooting,0,1,0,1
Lionel Cox,31,Belgium,2012,8/12/12,Shooting,0,1,0,1
H_kan Dahlby,46,Sweden,2012,8/12/12,Shooting,0,1,0,1
Rajmond Debevec,49,Slovenia,2012,8/12/12,Shooting,0,0,1,1
Ding Feng,25,China,2012,8/12/12,Shooting,0,0,1,1
Matt Emmons,31,United States,2012,8/12/12,Shooting,0,0,1,1
Massimo Fabbrizi,34,Italy,2012,8/12/12,Shooting,0,1,0,1
Celine Goberville,25,France,2012,8/12/12,Shooting,0,1,0,1
Anders Golding,28,Denmark,2012,8/12/12,Shooting,0,1,0,1
Guo Wenjun,28,China,2012,8/12/12,Shooting,1,0,0,1
Vincent Hancock,23,United States,2012,8/12/12,Shooting,1,0,0,1
Kim Jang-Mi,19,South Korea,2012,8/12/12,Shooting,1,0,0,1
Kim Jong-Hyeon,27,South Korea,2012,8/12/12,Shooting,0,1,0,1
Vijay Kumar,26,India,2012,8/12/12,Shooting,0,1,0,1
Ivana Maksimovic,22,Serbia,2012,8/12/12,Shooting,0,1,0,1
Sergey Martynov,44,Belarus,2012,8/12/12,Shooting,1,0,0,1
Alin Moldoveanu,29,Romania,2012,8/12/12,Shooting,1,0,0,1
Vasily Mosin,40,Russia,2012,8/12/12,Shooting,0,0,1,1
Gagan Narang,29,India,2012,8/12/12,Shooting,0,0,1,1
Leuris Pupo,35,Cuba,2012,8/12/12,Shooting,1,0,0,1
Delphine Racinet-Reau,38,France,2012,8/12/12,Shooting,0,0,1,1
Kim Rhode,33,United States,2012,8/12/12,Shooting,1,0,0,1
Jessica Rossi,20,Italy,2012,8/12/12,Shooting,1,0,0,1
Zuzana _tefecekov_,28,Slovakia,2012,8/12/12,Shooting,0,1,0,1
Ad_la S_korov_,25,Czech Republic,2012,8/12/12,Shooting,0,0,1,1
Luca Tesconi,30,Italy,2012,8/12/12,Shooting,0,1,0,1
Wang Zhiwei,24,China,2012,8/12/12,Shooting,0,0,1,1
Wei Ning,29,China,2012,8/12/12,Shooting,0,1,0,1
Peter Wilson,25,Great Britain,2012,8/12/12,Shooting,1,0,0,1
Yi Siling,23,China,2012,8/12/12,Shooting,1,0,0,1
Yu Dan,24,China,2012,8/12/12,Shooting,0,0,1,1
Andrija Zlatic,34,Serbia,2012,8/12/12,Shooting,0,0,1,1
Artur Aivazian,35,Ukraine,2008,8/24/08,Shooting,1,0,0,1
Aleksey Alipov,33,Russia,2008,8/24/08,Shooting,0,0,1,1
Abhinav Bindra,25,India,2008,8/24/08,Shooting,1,0,0,1
Christine Brinker-Wenzel,27,Germany,2008,8/24/08,Shooting,0,0,1,1
Tore Brovold,38,Norway,2008,8/24/08,Shooting,0,1,0,1
Chiara Cainero,30,Italy,2008,8/24/08,Shooting,1,0,0,1
Chen Ying,30,China,2008,8/24/08,Shooting,1,0,0,1
Corey Cogdell,21,United States,2008,8/24/08,Shooting,0,0,1,1
Eglis Yaima Cruz,28,Cuba,2008,8/24/08,Shooting,0,0,1,1
Francesco D'Aniello,39,Italy,2008,8/24/08,Shooting,0,1,0,1
Rajmond Debevec,45,Slovenia,2008,8/24/08,Shooting,0,0,1,1
Munkhbayar Dorjsuren,39,Germany,2008,8/24/08,Shooting,0,0,1,1
Du Li,26,China,2008,8/24/08,Shooting,1,0,0,1
Glenn Eller,26,United States,2008,8/24/08,Shooting,1,0,0,1
Matt Emmons,27,United States,2008,8/24/08,Shooting,0,1,0,1
Lyubov Galkina,35,Russia,2008,8/24/08,Shooting,0,1,0,1
Guo Wenjun,24,China,2008,8/24/08,Shooting,1,0,0,1
Henri H_kkinen,28,Finland,2008,8/24/08,Shooting,0,0,1,1
Vincent Hancock,19,United States,2008,8/24/08,Shooting,1,0,0,1
Hu Binyuan,30,China,2008,8/24/08,Shooting,0,0,1,1
Vladimir Isakov,38,Russia,2008,8/24/08,Shooting,0,0,1,1
David Kosteleck_,33,Czech Republic,2008,8/24/08,Shooting,1,0,0,1
Satu M_kel_-Nummela,37,Finland,2008,8/24/08,Shooting,1,0,0,1
Otryadyn G_ndegmaa,30,Mongolia,2008,8/24/08,Shooting,0,1,0,1
Nataliya Paderina,32,Russia,2008,8/24/08,Shooting,0,1,0,1
Pang Wei,22,China,2008,8/24/08,Shooting,1,0,0,1
Snje_ana Pejcic,26,Croatia,2008,8/24/08,Shooting,0,0,1,1
Giovanni Pellielo,38,Italy,2008,8/24/08,Shooting,0,1,0,1
Oleksandr Petriv,34,Ukraine,2008,8/24/08,Shooting,1,0,0,1
Warren Potent,46,Australia,2008,8/24/08,Shooting,0,0,1,1
Qiu Jian,33,China,2008,8/24/08,Shooting,1,0,0,1
Christian Reitz,21,Germany,2008,8/24/08,Shooting,0,0,1,1
Kim Rhode,29,United States,2008,8/24/08,Shooting,0,1,0,1
Nino Salukvadze,39,Georgia,2008,8/24/08,Shooting,0,0,1,1
Ralf Schumann,46,Germany,2008,8/24/08,Shooting,0,1,0,1
Zuzana _tefecekov_,24,Slovakia,2008,8/24/08,Shooting,0,1,0,1
Yuriy Sukhorukov,40,Ukraine,2008,8/24/08,Shooting,0,1,0,1
Tan Zongliang,36,China,2008,8/24/08,Shooting,0,1,0,1
Anthony Terras,23,France,2008,8/24/08,Shooting,0,0,1,1
Jason Turner,33,United States,2008,8/24/08,Shooting,0,0,1,1
Zhu Qinan,23,China,2008,8/24/08,Shooting,0,1,0,1
Ahmed Al-Maktoum,40,United Arab Emirates,2004,8/29/04,Shooting,1,0,0,1
Sergey Alifirenko,45,Russia,2004,8/29/04,Shooting,0,0,1,1
Aleksey Alipov,29,Russia,2004,8/29/04,Shooting,1,0,0,1
Michael Anti,40,United States,2004,8/29/04,Shooting,0,1,0,1
Irad? Asumova,46,Azerbaijan,2004,8/29/04,Shooting,0,0,1,1
Suzy Balogh,31,Australia,2004,8/29/04,Shooting,1,0,0,1
Andrea Benelli,44,Italy,2004,8/29/04,Shooting,1,0,0,1
Aleksandr Blinov,22,Russia,2004,8/29/04,Shooting,0,1,0,1
Du Li,22,China,2004,8/29/04,Shooting,1,0,0,1
Matt Emmons,23,United States,2004,8/29/04,Shooting,1,0,0,1
Gao E,41,China,2004,8/29/04,Shooting,0,0,1,1
Jozef G_nci,30,Slovakia,2004,8/29/04,Shooting,0,0,1,1
Lenka Hykov_-Maru_kov_,19,Czech Republic,2004,8/29/04,Shooting,0,1,0,1
Di_na Igaly,39,Hungary,2004,8/29/04,Shooting,1,0,0,1
Vladimir Isakov,34,Russia,2004,8/29/04,Shooting,0,0,1,1
Jia Zhanbo,30,China,2004,8/29/04,Shooting,1,0,0,1
Jin Jong-O,24,South Korea,2004,8/29/04,Shooting,0,1,0,1
Marko Kemppainen,28,Finland,2004,8/29/04,Shooting,0,1,0,1
Kim Jong-Su,27,North Korea,2004,8/29/04,Shooting,0,0,1,1
Olena Kostevych,19,Ukraine,2004,8/29/04,Shooting,1,0,0,1
Katerina Kurkov_-Emmons,20,Czech Republic,2004,8/29/04,Shooting,0,0,1,1
Manfred Kurzer,34,Germany,2004,8/29/04,Shooting,1,0,0,1
Li Jie,31,China,2004,8/29/04,Shooting,0,1,0,1
Christian Lusch,23,Germany,2004,8/29/04,Shooting,0,1,0,1
Dmitry Lykin,30,Russia,2004,8/29/04,Shooting,0,0,1,1
Sergey Martynov,36,Belarus,2004,8/29/04,Shooting,0,0,1,1
Zemfira Meft?kh?tddinova,41,Azerbaijan,2004,8/29/04,Shooting,0,0,1,1
Giovanni Pellielo,34,Italy,2004,8/29/04,Shooting,0,1,0,1
Christian Planer,29,Austria,2004,8/29/04,Shooting,0,0,1,1
Sergey Polyakov,36,Russia,2004,8/29/04,Shooting,0,1,0,1
Mar_a Quintanal,34,Spain,2004,8/29/04,Shooting,0,1,0,1
Rajyavardhan Rathore,34,India,2004,8/29/04,Shooting,0,1,0,1
Kim Rhode,25,United States,2004,8/29/04,Shooting,1,0,0,1
Juan Miguel Rodr_guez,37,Cuba,2004,8/29/04,Shooting,0,0,1,1
Ralf Schumann,42,Germany,2004,8/29/04,Shooting,1,0,0,1
Jasna _ekaric,38,Serbia and Montenegro,2004,8/29/04,Shooting,0,1,0,1
Valentina Turisini,35,Italy,2004,8/29/04,Shooting,0,1,0,1
Adam Vella,33,Australia,2004,8/29/04,Shooting,0,0,1,1
Wang Chengyi,21,China,2004,8/29/04,Shooting,0,0,1,1
Wang Yifu,43,China,2004,8/29/04,Shooting,1,0,0,1
Wang Zheng,25,China,2004,8/29/04,Shooting,0,0,1,1
Wei Ning,22,China,2004,8/29/04,Shooting,0,1,0,1
Zhu Qinan,19,China,2004,8/29/04,Shooting,1,0,0,1
Fehaid Al-Deehani,33,Kuwait,2000,10/1/00,Shooting,0,0,1,1
Yevgeny Aleynikov,33,Russia,2000,10/1/00,Shooting,0,0,1,1
Sergey Alifirenko,41,Russia,2000,10/1/00,Shooting,1,0,0,1
Michel Ansermet,35,Switzerland,2000,10/1/00,Shooting,0,1,0,1
Cai Yalin,23,China,2000,10/1/00,Shooting,1,0,0,1
Rajmond Debevec,37,Slovenia,2000,10/1/00,Shooting,1,0,0,1
Michael Diamond,28,Australia,2000,10/1/00,Shooting,1,0,0,1
Franck Dumoulin,28,France,2000,10/1/00,Shooting,1,0,0,1
Svetlana Dyomina,39,Russia,2000,10/1/00,Shooting,0,1,0,1
Jonas Edman,33,Sweden,2000,10/1/00,Shooting,1,0,0,1
Richard Faulds,23,Great Britain,2000,10/1/00,Shooting,1,0,0,1
Mariya Feklistova,24,Russia,2000,10/1/00,Shooting,0,0,1,1
Annemarie Forder,22,Australia,2000,10/1/00,Shooting,0,0,1,1
Gang Cho-Hyeon,17,South Korea,2000,10/1/00,Shooting,0,1,0,1
Gao E,37,China,2000,10/1/00,Shooting,0,0,1,1
Gao Jing,24,China,2000,10/1/00,Shooting,0,0,1,1
Deborah Gelisio,24,Italy,2000,10/1/00,Shooting,0,1,0,1
Tatyana Goldobina,24,Russia,2000,10/1/00,Shooting,0,1,0,1
Todd Graves,37,United States,2000,10/1/00,Shooting,0,0,1,1
Torben Grimmel,24,Denmark,2000,10/1/00,Shooting,0,1,0,1
Mariya Grozdeva,28,Bulgaria,2000,10/1/00,Shooting,1,0,0,1
Daina Gudzineviciute,34,Lithuania,2000,10/1/00,Shooting,1,0,0,1
Pia Hansen,34,Sweden,2000,10/1/00,Shooting,1,0,0,1
Juha Hirvi,40,Finland,2000,10/1/00,Shooting,0,1,0,1
Di_na Igaly,35,Hungary,2000,10/1/00,Shooting,0,0,1,1
Artyom Khadzhibekov,30,Russia,2000,10/1/00,Shooting,0,1,0,1
Tanyu Kiryakov,37,Bulgaria,2000,10/1/00,Shooting,1,0,0,1
Petr M_lek,38,Czech Republic,2000,10/1/00,Shooting,0,1,0,1
Russell Mark,36,Australia,2000,10/1/00,Shooting,0,1,0,1
Sergey Martynov,32,Belarus,2000,10/1/00,Shooting,0,0,1,1
Renata Mauer-R_zanska,31,Poland,2000,10/1/00,Shooting,1,0,0,1
Zemfira Meft?kh?tddinova,37,Azerbaijan,2000,10/1/00,Shooting,1,0,0,1
Mykola Milchev,32,Ukraine,2000,10/1/00,Shooting,1,0,0,1
Lalita Milshina-Yauhleuskaya,36,Belarus,2000,10/1/00,Shooting,0,0,1,1
Oleg Moldovan,33,Moldova,2000,10/1/00,Shooting,0,1,0,1
Nancy Napolski-Johnson,26,United States,2000,10/1/00,Shooting,1,0,0,1
Niu Zhiyuan,26,China,2000,10/1/00,Shooting,0,0,1,1
Ian Peel,42,Great Britain,2000,10/1/00,Shooting,0,1,0,1
Giovanni Pellielo,30,Italy,2000,10/1/00,Shooting,0,0,1,1
Delphine Racinet-Reau,26,France,2000,10/1/00,Shooting,0,1,0,1
Iulian Raicea,27,Romania,2000,10/1/00,Shooting,0,0,1,1
Kim Rhode,21,United States,2000,10/1/00,Shooting,0,0,1,1
Jasna _ekaric,34,Serbia and Montenegro,2000,10/1/00,Shooting,0,1,0,1
Harald Stenvaag,47,Norway,2000,10/1/00,Shooting,0,0,1,1
Martin Tenk,28,Czech Republic,2000,10/1/00,Shooting,0,0,1,1
Wang Yifu,39,China,2000,10/1/00,Shooting,0,1,0,1
Yang Ling,28,China,2000,10/1/00,Shooting,1,0,0,1
Ben Ainslie,35,Great Britain,2012,8/12/12,Sailing,1,0,0,1
Marina Alabau,26,Spain,2012,8/12/12,Sailing,1,0,0,1
Jo Aleh,26,New Zealand,2012,8/12/12,Sailing,1,0,0,1
Mathew Belcher,29,Australia,2012,8/12/12,Sailing,1,0,0,1
Lobke Berkhout,31,Netherlands,2012,8/12/12,Sailing,0,0,1,1
Stuart Bithell,25,Great Britain,2012,8/12/12,Sailing,0,1,0,1
Marit Bouwmeester,24,Netherlands,2012,8/12/12,Sailing,0,1,0,1
Peter Burling,21,New Zealand,2012,8/12/12,Sailing,0,1,0,1
Lucas Calabrese,25,Argentina,2012,8/12/12,Sailing,0,0,1,1
Saskia Clark,32,Great Britain,2012,8/12/12,Sailing,0,1,0,1
Nina Curtis,24,Australia,2012,8/12/12,Sailing,0,1,0,1
Juan de la Fuente,35,Argentina,2012,8/12/12,Sailing,0,0,1,1
Nick Dempsey,31,Great Britain,2012,8/12/12,Sailing,0,1,0,1
T_mara Echegoyen,28,Spain,2012,8/12/12,Sailing,1,0,0,1
Jonas H_gh Christensen,31,Denmark,2012,8/12/12,Sailing,0,1,0,1
